title,director,cast,country,release_year,rating,listed_in,description,runtime
True Colors,Herbert Ross,"Richard Widmark, Dina Merrill, Philip Bosco, Paul Guilfoyle, Steve Morley",United States,1991,R,Drama,"While Tim dreamed of working in the Justice Department, Peter aspired to be a high-powered political player - at any cost.",110
Triple Seat (4K UHD),Sanket Prakash Pavse,"Ankush Chaudhari, Shivani Surve, Pallavi Patil",India,2019,NR,"Comedy, International","A young, happy couple`s life gets turned upside down when the guy receives a call from an unknown woman who claims to be in danger. A new take on the classic love triangle, Triple Seat brings to you a light-hearted story about wireless love.",126
Transit,Antonio Negret,"James Caviezel, James Frain, Elisabeth Rohm, Harold Perrineau, Ryan Donowho",United States,2012,R,"Action, Drama, Suspense",The camping trip was meant to reunite the Sidwell family...it's not. When they are hunted and terrorized by violent bank robbers their very survival will depend on working together.,88
Touch Chesi Chudu,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor",India,2018,13+,"Drama, International, Romance","Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?",142
Tortilla Soup,Maria Ripoll,"Héctor Elizondo, Jacqueline Obradors, Elizabeth Peña, Tamara Mello, Raquel Welch, Paul Rodriguez, Constance Marie",United States,2002,PG-13,"Comedy, Drama, Romance",A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.,104
To Catch a Thief,Alfred Hitchcock,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams, Charles Vanel, Brigitte Auber, Jean Martinelli, Georgette Anys",United States,1955,PG,"Drama, Suspense",Stars Cary Grant as a former thief suspected of a new series of crimes and Grace Kelly as the woman who romances him.,106
Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Paresh Rawal, Girish Karnad, Anant Vidhaat, Kumud Kumar Mishra, Angad Bedi, Sajjad Delafrooz",India,2017,13+,"Action, Drama, International","When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani intelligence (ISI) agent Zoya. Joining forces in the name of humanity, Tiger and Zoya lead a team of RAW and ISI agents to covertly enter the hospital where the nurses are trapped.",159
Ticker,Albert Pyun,"Tom Sizemore, Dennis Hopper, Steven Seagal",United States,2001,R,"Action, Adventure, Suspense","When a mad bomber (Dennis Hopper) descends on San Francisco, it's up to two men to uncover his plot and find the massive bomb hidden somewhere in the city.",92
Three Wishes,Martha Coolidge,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",United States,1995,13+,"Adventure, Fantasy","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.",116
The Zombie King,Aidan Belizaire,"Edward Furlong, Corey Feldman, George McCluskey",United Kingdom,2013,16+,"Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld.",96
The Wild Horse Redemption,John Zaritsky,,Canada,2007,13+,"Documentary, Special Interest","At a prison in the high desert foothills of the Colorado Rocky Mountains, hardened criminals are taught the training methods of ""horse whisperers"" and given 90 days to tame wild mustangs taken from the herd that roams government lands. Failure means one more defeat for the inmate; success could save both lives.",91
The Wereth Eleven,Robert Child,"Corey Reynolds, Ken Arnold",United States,2011,13+,"Documentary, Military and War","During World War II, 1.2 million African-Americans served in America's Armed Forces. Fully 125,000 served overseas. 708 were killed. Among these were The Wereth Eleven. Their story was lost to history. Until now.",61
The Wedding Year,Robert Luketic,"Sarah Hyland, Camille Hyde, Zora Bikangaga, Laci Mosley, Tom Conolly, Grace Helbig, Tyler James Williams, Jenna Dewan, Matt Shively, Anna Camp, Noureen DeWulf, Wanda Sykes, Kristen Johnston, Patrick Warburton, Keith David",United States,2019,R,Comedy,A commitment-phobic 27-year old's relationship is put to the test when she and her boyfriend attend 7 weddings in the same year.,91
The Vast of Night,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis, Cheyenne Barton, Gregory Peyton",United States,2020,PG-13,"Drama, Science Fiction, Suspense","In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever.",91
The Parallax View,Alan J. Pakula,"Warren Beatty, Hume Cronyn, Paula Prentiss, Kenneth Mars",United States,1974,R,Drama,"Warren Beatty is a news reporter who, along with seven others, witnesses the assassination of a political candidate.",102
The Nutty Professor (1963),Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore",United States,1963,ALL,"Comedy, Science Fiction","Jerry Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times.",107
The Monster Squad,Fred Dekker,"Andre Gower, Duncan Regehr, Ryan Lambert, Stephen Macht, Tom Noonan",United States,1987,PG-13,"Action, Comedy, Horror","Dracula, the Wolf Man, the Gill-Man, the Mummy, and the Frankenstein Monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood Monster Club can stop them!",82
The Legend of Swee' Pea,Benjamin May,"Lloyd Daniels, Avery Johnson, Bobbito Garcia, David Robinson, Jerry Tarkanian",United States,2020,18+,"Documentary, Sports","A ""mystical understanding of the game"" made Lloyd ""Swee' Pea"" Daniels a New York City basketball legend by the age of 16. Christened the ""next Magic Johnson"", his career effectively ended at age 21 after being shot 3 times in the chest after a tussle over $8 of cocaine. The Legend of Swee' Pea follows the twists and turns of fortune in the life of a basketball prodigy.",80
The Last Sharknado: It's About Time,Anthony C. Ferrante,"Tara Reid, Ian Ziering, Cassie Scerbo, Vivica A. Fox, Judah Friedlander",United States,2018,13+,"Action, Science Fiction","Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when.",89
The Last Black Man in San Francisco (4K UHD),Joe Talbot,"Mike Epps, Jimmie Fails, Finn Wittrock, Danny Glover, Rob Morgan, Tichina Arnold, Jonathan Majors",United States,2019,R,"Arthouse, Arts, Entertainment, and Culture, Drama","Jimmie and his best friend Mont try to reclaim the home built by his grandfather, launching them on a poignant odyssey to find a place to call home.",121
The Hollow Child,Jeremy Lutter,"Jessica McLeod, Hannah Cheramy, John Emmet Tracy",Canada,2018,16+,Horror,"Highly intelligent and malicious creatures known as The Hollow Ones live in the woods and entice children with their hypnotic folklore music. Samantha, a young foster teen, must fight to expose these dangerous supernatural impostors to save her younger sister who has been taken, otherwise her soul will be lost forever.",88
The Flaw,David Sington,"Andrew Luan, Robert Shiller, Louis Hyman",United Kingdom,2011,13+,Special Interest,"The definitive doc on the 2008 financial crash - The Flaw goes beyond easy explanations of greedy bankers and incompetent regulators its investigation goes to the root causes of the USA's and UK's deluded belief that everyone could be rich and property prices would rise forever, and asks the question: why are the perpetrators of the mess now entrusted with the lucrative task of clearing it up?",81
The Court Jester,"Melvin Frank, Norman Panama","Danny Kaye, Glynis Johns, Basil Rathbone, Angela Lansbury, Cecil Parker",United States,1956,ALL,"Action, Comedy","Danny Kaye plays kind-hearted entertainer Hawkins who disguises himself as the legendary king of jesters, Giacomo. Hawkins infiltrates the court of the evil villain Basil Rathbone, but when a sorceress hypnotises him, royal chaos ensues.",101
The Bridgewater Triangle,"Aaron Cadieux, Manny Famolare","Loren Coleman, Jeff Belanger, Chris Balzano, John Brightman, Andrew Lake, Chris Pittman, Tim Weisberg",United States,2013,13+,Special Interest,"""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity",91
Super Size Me 2: Holy Chicken!,Morgan Spurlock,Morgan Spurlock,United States,2019,PG-13,"Comedy, Documentary, Special Interest",Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry - this time with Big Chicken - as he opens his own fast food restaurant.,103
Super Size Me,Morgan Spurlock,Morgan Spurlock,United States,2004,PG-13,Special Interest,"Winner at Sundance, director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected – and terrifying – side effects.",99
Sunshine Hotel,Michael Dominic,"Michael Dominic, Nathan Smith, Ray Stark",United States,2002,13+,"Documentary, Special Interest","[Remastered 2017] As seen on Sundance Channel. A journey into the last ""flophouse"" on New York City's infamous skidrow, The Bowery. Filmmaker Michael Dominic takes his camera behind the doors of the Sunshine Hotel, one of the few remaining affordable refuges for the destitute and out of luck, a world that has seemingly stood still for more than eight decades.",99
Student of the Year 2,Punit Malhotra,"Tiger Shroff, Tara Sutaria, Ananya Panday",India,2019,13+,"Drama, International","Rohan (Tiger Shroff) is a student, athlete from a mediocre Pishorilal Chamandas College. He dreams of becoming the Student of the Year one day. His life takes a turn, when he gets accepted to St. Teresa College, encounters his rival Manav & has the beautiful Shreya and Mia who begin to fall for him. Their life gets tangled through competition, failure, manipulation and heartbreaks.",146
Stick Man,"Jeroen Jaspaert, Daniel Snaddon","Martin Freeman, Jennifer Saunders, Russell Tovey, Hugh Bonneville, Rob Brydon, Sally Hawkins",United Kingdom,2015,ALL,"Adventure, Animation, Kids","A half-hour animation based on the much-loved children's picture book by Julia Donaldson and Axel Scheffler. Stick Man tells the tale of a happy-go-lucky father's epic adventure across the seasons as he runs from a playful dog, gets thrown in a river, escapes from a swan's nest and even ends up on top of a fire. Will he get back to his family in time for Christmas?",27
Stagecoach - The Original John Wayne Classic,John Ford,"John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Tim Holt, Tom Tyler, Yakima Canutt",United States,1939,7+,"Adventure, Drama, Western","A stagecoach sets off across the untamed wilderness carrying a mixed assortment of characters whose journey is complicated by an Apache raiding party. Directed by John Ford, the original 1939 Stagecoach has long been recognized as one of the most influential films ever made & transcends the Western genre. Winner of 2 Academy Awards & 5 Nominations, it features John Wayne in his breakthrough role!",96
Sonu Ke Titu Ki Sweety,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sunny Singh Nijjar, Ishita Raj Sharma, Alok Nath, Deepika Amin, Ayesha Raza, Virendra Saxena, Rajesh Jais",India,2018,13+,"Comedy, International","Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true.",138
Song One,Kate Barker-Froyland,"Anne Hathaway, Johnny Flynn, Mary Steenburgen, Ben Rosenfield",United States,2015,PG-13,"Arthouse, Arts, Entertainment, and Culture, Drama","Oscar winner Anne Hathaway stars as Franny in this romance set in Brooklyn's indie music scene. After her brother is in an accident, Franny returns home only to fall in love with her brother's musical idol.",88
Soapdish,Michael Hoffman,"Robert Downey Jr., Sally Field, Teri Hatcher, Cathy Moriarty, Paul Johansson, Elisabeth Shue, Whoopi Goldberg, Kevin Kline, Carrie Fisher, Kathy Najimy, Willie Garson",United States,1991,PG-13,Comedy,"The cast and crew of The Sun Also Sets, America's hottest soap opera have on-screen drama and off-screen craziness with enough dirty laundry to keep everyone in hot water in this unadulterated comedy.",96
Smile Please,Vikram Phadnis,"Mukta Barve, Lalit Prabhakar, Prasad Oak, Aditi Govitrikar, Trupti Khamkar, Satish Alekar, Vedashree Mahajan",India,2019,13+,"Drama, International","Nandini Joshi, once an extremely successful photographer, has fallen prey to dementia. Her already unstable relationship with her daughter Nupur, who stays with Nandini’s ex-husband Shishir, has deteriorated over the years. When Viraj, a young graphic designer arrives on the scene, he is determined to mend the situation and help Nandini rediscover a sense of meaning in her life.",132
Sleepwalker,Elliott Lester,"Ahna O'Reilly, Richard Armitage, Haley Joel Osment, Izabella Scorupco, Kevin Zegers",United States,2017,18+,"Drama, Suspense","Troubled by bouts of sleepwalking and nightmares, graduate student Sarah Foster goes to her university's sleep research center for help. When she wakes up after her first night of being monitored, the world she lives in seems to have changed in subtle, Twilight-Zone-esque ways. With the help of sleep researcher Scott White, she tries to work her way back to the reality she started in.",88
Sketchy Behaviour,Neville Shah,"Kanan Gill, Kenneth Sebastian",India,2019,PG-13,"Arts, Entertainment, and Culture","Sketchy Behaviour is an absurd sketch comedy show filmed live in Mumbai. Described as hilarious, complex, stupid, irritating(and ‘sardonic’ by one lady in Goa) the show is familiar, bizarre and hysterically funny. Featuring six very silly live sketches, stitched together by a much sillier story and bookended by an extremely silly opening and closing, Sketchy Behaviour is truly a work of something.",64
Sita,Teja,"Sai Srinivas Bellamkonda, Kajal Aggarwal, Sonu Sood",India,2019,13+,"Drama, International","Sita is a materialistic woman who only cares about materialistic gains and nothing else. MLA Basava Raju lusts for her and wants her to give him what she promised him for helping her. The villain of their tale is Ram, a man who’s way too innocent for his own good. How does Ram help Sita out of the fix she’s in forms the crux of the story.",157
Sharknado 4: The 4th Awakens,Anthony C. Ferrante,"Ian Ziering, Tara Reid, David Hasselhoff, Gary Busey, Tommy Davidson, Cody Linley, Imani Hakim",United States,2016,13+,"Action, Horror, Science Fiction","Five years after the wave of sharknados that wracked the east coast, our heroes are living a quiet life in the middle of the country – as far away from sharks as possible. But when a freak sand sharknado hits Vegas, Fin is thrown back into action, fighting sharknados on a cross-country race to save his family and the world – as all mankind should know by now, there is no escaping...",85
Shakuntala Devi,Anu Menon,"Vidya Balan, Sanya Malhotra, Jisshu Sengupta,  Amit Sadh",India,2020,13+,Drama,"The extraordinary story of Shakuntala Devi, the world-renowned mathematician who lived her life on her own terms. While the film pays tribute to her genius as a mathematician, it also humanizes her as a woman and mother, in trying to capture her indomitable spirit. Told through the lens of her relationship with her daughter Anu, the film highlights their very different struggles and aspirations.",127
Shadow Company,"Nick Bicanic, Jason Bourque",James Ashcroft,Canada,2007,13+,Documentary,"Twenty thousand private soldiers operate in Iraq. Who are these people? What do they do and why do they do it? This documentary is a groundbreaking investigation into the secretive world of modern mercenaries. It follows one British contractor on his tour of duty, contrasting his experiences in Iraq with previous operations. This is the definitive film on the changing face of modern war.",44
Shaadi Mubarak,Padmasri,"Sagar RK Naidu, Drishya Raghunath",India,2021,ALL,"Comedy, Drama","Madhav, an introverted software employee who gets compelled to meet 3 brides of alliances arranged by a marriage bureau run by Jayamma. Bhanumati, daughter of Jayamma, a happy, go-lucky girl had to accompany Madhav in meeting his set alliances. In the journey, they find love in each other, yet, they don't express it. The story takes new turns with each alliance they meet.",133
Selah and the Spades,Tayarisha Poe,"Lovie Simone, Jharrel Jerome, Celeste O’Connor, Jesse Williams, Gina Torres, Ana Mulvoy Ten, Evan Roe, Francesca Noel, Henry Hunter-Hall, Nekhebet Juch, Bella Ferragamo, Kristen Ivy Haynes, Greyson Cage, Ben Breault, Krish Bhuva, Cody Sloan, Ali Fisher, Rae Bell, Melissa McMeekin, Ken Israel",United States,2020,R,Young Adult Audience,"Five factions run the underground life of the prestigious Haldwell boarding school. At the head of the most powerful faction – THE SPADES – sits Selah Summers. Both charming and callous, Selah walks the fine line between being feared and loved, often cutting loose whomever she deems a threat to her power.",98
Savyasachi,Chandoo Mondeti,"Naga Chaitanya, Nidhhi Agerwal, R. Madhavan, Bhumika Chawla",India,2018,13+,"Action, Adventure, International",Savyasachi (meaning Ambidextrous) is based on a twin brother who is absorbed by Naga's character in the womb and controls his left hand. Unscientifically called the Vanishing Twin Syndrome.,148
Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renee Zellweger, Djimon Hounsou, Jon Voight",United States,2017,PG-13,Drama,"From The NY Times bestseller comes an inspirational true story about two men from drastically different backgrounds, who develop a surprising bond that will lead them on the most remarkable journey of their lives and forge an everlasting friendship.",119
Sakka Podu Podu Raja,Sethuraman,"Santhanam, Vaibhavi Shandilya, Vivek, VTV Ganesh, Sampath",India,2017,13+,"Comedy, Drama, International",A happy-go-lucky-guy falls in love with the sister of a ruthless gangster. How does the former convince his lover's brother is the rest of the movie.,124
Rustum,Ravi Varma,"Shivarajkumar, Vivek Oberoi, Shraddha Srinath, Rachita Ram, Harish Uttaman, Mayuri, J.Mahendran, Shatru",India,2019,NR,"Action, International","The story revolves around a super cop who is sincere, brave and deadly. He is on a mission to end nexus of the organ trading mafia across the country and to take revenge for the brutal murder of his close friend.",127
Rangasthalam,Sukumar,"Ram Charan, Samantha Akkineni, Aadhi Pinisetty, Anasuya Bharadwaj, Jagapati Babu",India,2018,7+,"Drama, International, Suspense",The story is set in a village called Rangasthalam. Chitti Babu (Ram Charan) happy-go-lucky man who has a hearing disability and he doesn’t let his disability deter him. His brother Kumar Babu (Aadhi Pinisetty) returns from Dubai only to see that nothing in the village has changed. What happens when he decides to go up against the dreaded President garu (Jagapathi Babu) forms the rest of the story.,174
Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal",India,2018,13+,"Drama, International, Suspense","Set in 1971, when the winds of war were blowing between India and Pakistan, Raazi – an adaptation of Harinder Sikka’s novel “Calling Sehmat” – is a true-life story involving a 20 year old Kashmiri girl.",137
Problems,Neville Shah,Azeem Banatwalla,India,2018,13+,"Arts, Entertainment, and Culture","Azeem Banatwalla's second stand-up special is a wickedly dark show that taps into the inner, evil voice in the back of all our heads, and uses it to solve the biggest problems plaguing the country - stupidity, moral policing, racism, indoctrination, overpopulation, Kashmir, the government, and of course, Pigeons. There's also a joke about Salman, if that's what you're into. Nobody's judging you.",68
Powder Blue,Timothy Linh Bui,"Jessica Biel, Ray Liotta, Eddie Redmayne, Forest Whitaker, Kris Kristofferson, Lisa Kudrow, Patrick Swayze",United States,2009,R,"Drama, Suspense","On the gritty streets of LA, the destinies of four people desperate for connection and redemption are about to collide. Jessica Biel, Ray Liotta, Forest Whitaker and Eddie Redmayne lead a top-notch cast in this powerful thriller about an overwhelmed erotic dancer, a grieving husband who has lost his will to live, a terminally ill ex-con and a pathologically shy mortician.",106
Pink Heat,Sean LaFollette,"Jordan Burgess, Adam Joseph Lopez, Joey Catalano, James Howey, Nick Catalano, Henry Frost III",United States,2017,16+,"Action, Suspense","For her birthday this year, Elizabeth has been given two pink pistols and a reason to use them when a gang of vicious criminals murders her grandfather in cold blood. Packing her trusted pink heat, Elizabeth sets out to avenge her family, leaving a trail of bullet-riddled bodies in her wake.",78
Petromax,Rohin Venkatesan,"Tamannah, Yogi Babu, Munishkanth, Kaali Venkat, Mime Gopy",India,2019,NR,"Horror, International","When an ancestral house comes up for sale, rumor crops up that it's haunted. Unwilling to settle for a distressed sale, an arrangement is made for four members to stay at the house and prove that there are no ghosts inside.",127
