Total Bill,Tip,Tip Percent
16.27,2.5,15.4
10.09,2.0,19.8
20.45,3.0,14.7
13.28,2.72,20.5
22.12,2.88,13.0
24.01,2.0,8.3
15.69,3.0,19.1
11.61,3.39,29.2
10.77,1.47,13.6
15.53,3.0,19.3
10.07,1.25,12.4
12.6,1.0,7.9
32.83,1.17,3.6
35.83,4.67,13.0
29.03,5.92,20.4
27.18,2.0,7.4
22.67,2.0,8.8
17.82,1.75,9.8
18.78,3.0,16.0
